Rubriques douanières,Dénomination des marchandises,2006-01-01 00:00:00,2006-02-01 00:00:00,2006-03-01 00:00:00,2006-04-01 00:00:00,2006-05-01 00:00:00,2006-06-01 00:00:00,2006-07-01 00:00:00,2006-08-01 00:00:00,2006-09-01 00:00:00,2006-10-01 00:00:00,2006-11-01 00:00:00,2006-12-01 00:00:00,2007-01-01 00:00:00,2007-02-01 00:00:00,2007-03-01 00:00:00,2007-04-01 00:00:00,2007-05-01 00:00:00,2007-06-01 00:00:00,2007-07-01 00:00:00,2007-08-01 00:00:00,2007-09-01 00:00:00,2007-10-01 00:00:00,2007-11-01 00:00:00,2007-12-01 00:00:00,2008-01-01 00:00:00,2008-02-01 00:00:00,2008-03-01 00:00:00,2008-04-01 00:00:00,2008-05-01 00:00:00,2008-06-01 00:00:00,2008-07-01 00:00:00,2008-08-01 00:00:00,2008-09-01 00:00:00,2008-10-01 00:00:00,2008-11-01 00:00:00,2008-12-01 00:00:00,2009-01-01 00:00:00,2009-02-01 00:00:00,2009-03-01 00:00:00,2009-04-01 00:00:00,2009-05-01 00:00:00,2009-06-01 00:00:00,2009-07-01 00:00:00,2009-08-01 00:00:00,2009-09-01 00:00:00,2009-10-01 00:00:00,2009-11-01 00:00:00,2009-12-01 00:00:00,2010-01-01 00:00:00,2010-02-01 00:00:00,2010-03-01 00:00:00,2010-04-01 00:00:00,2010-05-01 00:00:00,2010-06-01 00:00:00,2010-07-01 00:00:00,2010-08-01 00:00:00,2010-09-01 00:00:00,2010-10-01 00:00:00,2010-11-01 00:00:00,2010-12-01 00:00:00,2011-01-01 00:00:00,2011-02-01 00:00:00,2011-03-01 00:00:00,2011-04-01 00:00:00,2011-05-01 00:00:00,2011-06-01 00:00:00,2011-07-01 00:00:00,2011-08-01 00:00:00,2011-09-01 00:00:00,2011-10-01 00:00:00,2011-11-01 00:00:00,2011-12-01 00:00:00,2012-01-01 00:00:00,2012-02-01 00:00:00,2012-03-01 00:00:00,2012-04-01 00:00:00,2012-05-01 00:00:00,2012-06-01 00:00:00,2012-07-01 00:00:00,2012-08-01 00:00:00,2012-09-01 00:00:00,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00
01,Animaux vivants,6.9,0.0,67.69999999999999,6.300000000000011,25.89999999999999,0.0,0.0,0.0,0.0,0.0,0.2000000000000028,2.200000000000003,0.0,0.0,48.4,0.0,0.6000000000000014,8.100000000000001,13.49999999999999,8.0,0.0,0.0,0.0,12.30000000000001,5.1,3.700000000000001,3.6,23.4,0.9000000000000057,5.0,10.4,0.0,17.49999999999999,0.0,23.0,0.0,23.1,2.699999999999999,10.3,31.2,7.0,11.566773,8.795618,1.901123,22.859051,0.0,0.0,0.0,22.290652,9.694149,12.331906,217.29039,0.0,20.158715,0.0,47.586481,27.191159,25.277598,0.0,39.723899,0.0,4.730007,10.729758,9.2737,147.328671,61.195329,30.3,84.322201,6.385483,26.800134,99.623717,892.7939930000001,89.70609175942549,127.442813,10.729758,534.72056,196.778433,628.05411,47.04404,45.052073,222.451383,236.019525,81.925913,1278.257998,287.706315,526.207414,0.0,146.5562686,152.8666544,109.72451168,30.4319416,223.3684284259,34.36953185580001,570.7421113856998,149.9704605311885,593.0476358542003,80.6491902012,184.2053592044,90.30640511760001,339.52547287,136.20605217,122.89141736,25.47815179,7.210896229999999,20.02057319,43.165929,27.48392,793.91589,95.202607,2.703379,14.784489,174.689556,27.166537,2.869406,30.176626,0.0,150.564678,382.621438,0.0,479.981133,24.713542,18.645857,92.03662,0.0,7.860509,52.390699,12.285015,2.53157,199.099795,759.836684,938.383597,313.778171,4.393143,449.920207,2.659909,28.6,0.139698,0.0,15.184262,308.776688,718.659205,621.685485,890.553759,463.953511,44.717051,29.339964,66.448224,3.526867,7.950388,389.817416,698.943572,10.9742,9.449091,916.320456,5.382454,9.050917,50.545054,2.798615,24.047753,40.044217,5.786319,51.064999,35.611453,30.0728,39.454987,1.68455,136.877733,1.432047,507.943047,,0.310246
02,Viandes,0.0,0.0,0.0,29.5,253.2,272.1,228.2,508.5,0.0,0.0,107.0,145.7,165.6,101.7,0.0,0.0,0.5,0.0,0.1999999999999886,1.699999999999989,0.0,4.300000000000011,2.899999999999977,2.0,0,0.4,0.0,0.0,0.0,0.9,0.0,0.3,1.0,10.2,0.5,0.6999999999999993,0,0.0,1.3,0.3,0.0,0.0,0.0,0.0,20.922896,13.933555,4.499467,11.418359,0.0,0.0,0.0,0.0,1.184575,1.798974,0.473815,0.808609,1.546636,0.742306,3.404286,34.69138,5.8,13.9,1.753878,1.272006,5.40811,0.046217,8.784614,0.0,4.178089,1.624883,2.34011,0.697609,5.97642,4.9914,1.753878,5.718253000000001,9.559872,4.250549,0.0,0.596498,0.34054,1.531118,0.0,3.249621,2.742862,5.422866,349.24029,2.402081,2.58783447,6.39250084,4.461947957904,3.60562243941,6.301437264302001,0.7110065708068001,3.403741901475,14.062723638843,2783.525102392174,211.298426019955,10.345258484301,7.07415277,4.80467746,7.66256621,5.665638779999999,2.81530397,5.41183912,22.742417,1835.753496,2173.800902,1.997287,27.692892,6.147469,7.471256,5.365173,3569.633907,1517.338467,0.472053,0.9568733199999999,8.791036,5.083627,2.049542,0.158217,1.629042,0.0,3166.851369,1704.886972,1.247136,0.169229,2941.434571,1.772147,3704.206117,3.452146,3033.051354,1022.787666,11.860887,3751.753985,1.1,2.035442,1043.409398,3.499404,5.613302,2791.26127,4.079368,23.837879,7.959984,2500.158992,0.322119,2.904854,5.895823,1.242455,3.502969,2754.146974,2.504692,2.053372,2.899401,0.187096,3.311289,0.021993,0.0,0.258037,1.298098,7.903888,0.0,1.354647,0.13121,0.168679,1.944433,2.549226,0.163215,3.062529,6.209042,2.336829
3,Poissons,36.0,0.0,1.399999999999999,0.0,1.5,23.6,23.90000000000001,0.2999999999999972,9.399999999999991,0.0,0.5,1.900000000000006,0.8,0.0,0.0,0.0,6.5,0.0,3.3,0.9000000000000004,1.1,1.700000000000001,0.0,7.0,0,0.0,0.0,2.3,0.3000000000000003,2.5,0.0,0.1000000000000005,1.8,0.0,3.6,1.800000000000001,4,0.2999999999999998,1.3,11.8,0.0,5.404538,16.841932,45.217264,5.598508,11.336542,25.404777,44.774502,34.5,17.450692,28.602113,38.147815,17.0,19.013002,15.175843,40.544959,31.379862,81.137022,53.35825,85.841655,162.56463,113.031446,217.660402,89.721216,211.108671,85.064851,154.700351,81.382098,80.24323,132.991768,74.190066,143.91383,52.573445,71.199917,217.660402,186.562144,147.189898,190.157967,231.666638,370.874295,247.499635,271.035543,423.129363,364.790471,368.458663,251.442911,1.142901,404.902729,349.836346,336.3334978300001,290.8912345271839,389.4940374927871,417.5321193059999,304.5243232148289,283.702164481185,389.424373601747,272.052008975286,305.1879782689129,297.3851277747119,251.29902257,305.22086405,371.7937931999997,301.65322006,323.88215217,271.6058401400001,311.69035,341.331844,283.350857,220.418848,188.01568,254.82716,331.733571,233.117973,209.879376,265.053828,164.408759,215.823753253,313.414049,394.557886,319.13353,331.022807,240.876569,217.476121,210.318586,311.258339,186.137201,266.454272,200.280374,206.196462,270.809451,238.381711,343.294355,247.547755,243.164623,284.004583,283.4,261.408148,174.638039,241.020193,252.525759,197.086792,207.33294,245.545248,336.691575,201.387254,111.96122,182.364668,206.989457,271.130218,283.334348,195.912779,390.821588,278.249937,191.532727,256.336515,336.633276,474.655364,342.519609,499.1423176428571,463.656436,419.246464,321.2414482926829,427.674116,317.417916,392.270346,666.04575,615.6996417333334,670.190393,745.03946,570.627827,600.516191
04,Produits laitiers,77.4,114.6,34.09999999999999,133.9,170.0,464.6,233.9999999999999,628.4000000000001,243.8000000000002,155.0,229.8999999999996,168.4000000000001,140.1,402.0,276.9,165.6,125.1,391.3999999999999,153.2,168.3,84.0,171.3000000000002,187.5999999999999,71.5,243.9,134.2,160.6999999999999,68.10000000000002,118.3000000000001,251.0,59.09999999999991,85.20000000000005,159.4000000000001,156.3999999999999,77.70000000000005,153.5999999999999,57,435.3,138.6,106.9,62.5,216.020722,58.438645,193.411487,104.033205,101.971129,36.930237,180.197765,43.611208,71.640908,130.161764,60.359215,179.388675,47.72051,86.558251,81.735337,116.223188,1111.097846,243.785694,75.23575,3128.512402,144.633964,187.473293,184.521559,311.77378,114.291425,160.266654,189.291759,177.711142,108.278235,279.569857,252.244401,269.266064,173.601582,187.473293,189.869968,167.425978,249.298076,167.56615,156.790263,170.906473,1169.186185,245.078475,191.842952,157.650519,254.005304,242.296863,150.75326,223.83692032,221.9366105400001,147.413545590118,449.501410961276,394.6458195740029,316.4428063297293,261.7433912159511,195.3862850451789,357.709173614335,578.7965249159517,225.4099752887649,208.3304160899999,149.22682371,187.8467351299999,112.13935951,148.52997402,162.1015586700001,1542.6474,160.562037,173.223436,165.101058,119.200142,211.664564,162.372631,180.666512,69.87568,65.888266,744.137671,213.7960366799,192.30978,126.624263,145.785002,154.366471,881.071839,139.228265,117.228826,96.20494,88.183838,74.257114,24.422439,399.832137,53.808273,47.293223,127.333854,38.405587,156.387568,73.443815,96.9,45.138137,153.894913,139.893189,66.309028,1038.663917,81.830969,38.566935,72.789678,109.933025,41.823815,89.692238,204.607483,72.142077,64.84248,46.724508,114.23086,69.775229,56.978925,42.223645,161.724532,102.918908,67.989397,172.332258,147.304498,108.008593,212.40237,145.07731,185.164375,206.195229,175.491015,366.916603,265.105823,89.705165,38.222584,127.586134
07,Légumes,34.3,1.200000000000003,1.0,9.100000000000001,5.5,1.899999999999999,149.2,5.100000000000023,1.799999999999983,173.6,0.0,8.0,0.0,0.2,20.2,0.0,1.200000000000003,18.0,6.5,97.0,52.5,6.200000000000017,5.099999999999994,4.799999999999983,6.4,0.1999999999999993,10.4,400.9,15.40000000000003,350.7,121.6,497.9999999999999,203.8000000000002,7.0,371.3,21.70000000000005,3.7,224.0,0.4000000000000057,3.400000000000006,2.699999999999989,7.142596,86.125821,0.484365,4.278177,0.0,1.283429,0.399073,0.0,0.003813,4.233281,0.604115,0.032841,3.416896,85.744621,118.201955,165.470062,222.397174,345.374199,762.281096,1047.815167,866.76343,565.73512,694.059953,661.867299,776.835866,457.188838,330.025956,177.312594,376.844846,270.028442,269.049703,179.830221,166.541532,565.73512,288.4714049999999,469.265248,313.828877,183.771729,218.620085,567.282778,147.488512,310.857015,531.739401,457.786668,631.008791,1248.683506,1670.39442,833.7345748299999,318.90119291,283.9085549317,219.845274320259,180.964710300541,171.317548595257,331.578793572612,2087.33309904543,363.3096967001,595.095019251481,270.408097479828,257.9509857199999,249.79109707,572.3277321700001,656.5466814499999,176.2718578399999,143.87676287,144.266717,280.001636,340.932212,411.607429,276.504543,597.961176,436.76547,207.863263,97.061345,114.553802,130.341755,126.8443801296,113.225481,142.174306,755.490119,174.297418,359.72111,269.348435,469.674216,352.545687,486.748284,222.674281,175.979017,135.995449,255.707349,148.455138,820.100795,358.561644,694.081621,267.639215,242.8,1262.585562,752.222249,234.386663,230.954394,61.516503,119.799557,103.876936,169.555944,288.052373,227.041822,269.534092,117.036885,121.690657,81.16861,463.264975,1435.464486,279.598088,2468.12459,133.7613,1575.117053,1598.71409,215.673777,308.833624,42.412382,32.064253,623.098213,746.021084,671.787305,365.817917,55.074468,504.588884,85.425006,24.88447,46.326267,27.340753
08,Fruits,0.4,0.2,0.0,0.3,0.0,0.0,1.2,0.0,0.0,0.2999999999999998,2.2,1.300000000000001,1.2,0.2,2.0,0.0,1.8,0.8999999999999995,2.700000000000001,0.3999999999999986,0.8000000000000007,0.9000000000000004,23.3,0.5,0.9,0.6,0.8999999999999999,2.1,1.6,0.8000000000000007,2.199999999999999,62.9,3.0,3.5,0.7000000000000028,0.09999999999999432,1.5,1.0,0.2999999999999998,1.3,0.7000000000000002,2.397214,0.773371,3.940461,2.340854,5.528301,4.628106,2.930736,1.061808,3.273873,0.744751,2.640913,4.560419,0.965221,4.191983,3.992423,0.661103,3.145745,3.92541,3.960084,2.518271,3.801567,3.45586,1.375678,8.011641,0.278586,3.91369,0.291574,1.872044,3.536671,4.889197,19.246592,18.771166,0.362695,3.45586,4.170992,4.443493,3.503063,9.715295,5.844167,4.19954,15.481733,3.050153,6.209188,12.495576,4.429358,6.278065,3.414842,9.45950744,3.310683859999999,17.092773061482,13.986826270941,5.436902481841,12.954910265272,9.472174992018001,13.365130696445,11.402807688843,5.84608252578,5.533285977793999,13.15686235,2.01906903,6.318969989999999,11.74006282,12.9345699,9.895924189999999,14.033704,29.967821,14.0228,42.236026,7.29685,14.864427,12.365748,5.067618,6.55925,8.571062,13.089592,17.7463723154,16.382706,12.509911,13.740197,12.53474,15.004658,24.834008,12.833809,19.687777,10.55566,9.80824,15.446433,12.343429,33.818017,10.809071,15.350937,13.282282,4.447932,8.993005,10.9,14.513269,20.486129,7.1911,15.636004,12.010378,9.800497,19.125691,13.690123,12.596024,16.159179,26.18941,10.056205,18.082709,24.821722,15.099326,23.748231,21.687184,25.000042,25.085053,22.943871,22.383812,25.412255,25.100146,24.824032,30.884386,20.929703,29.403531,25.376383,22.806987,24.816197,26.869682,19.956136,20.42478,20.359919,25.84967
1001,Froment et méteil,0.0,116.5,488.3,0.0,0.0,0.0,0.0,0.0,0.0,275.5,106.0,263.5,229.6,0.0,0.0,0.0,0.0,526.6,461.2,168.6999999999998,56.70000000000005,88.70000000000005,12.90000000000009,14.59999999999991,0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0,2071.5,1255.9,1358.4,50.30000000000018,0.0,5.609344,0.0,2476.64789,0.0,0.0,0.0,1016.731976,50.629142,0.0,0.0,17.992051,0.0,0.0,0.0,46.61086,791.327859,257.433811,254.315018,0.0,0.0,0.0,0.0,441.676138,0.0,0.0,73.222553,1588.345896,0.0,2403.351309,4276.734709,449.727249,463.085341,0.0,6649.949210000001,3390.255572,1428.745817,238.676478,0.0,925.42905,1246.585194,252.65372,3329.678057,2832.325695,2882.574874,316.973635,929.161372,4613.34236419,1787.84407807,1752.25974132172,2819.8338818112,0.5042365,2080.230197758274,9956.946484815358,2792.060324895491,2557.621028932189,1851.174739461077,1208.595695906981,1343.193810129997,1287.88508624,8886.818055849999,539.75348771,677.51960922,6770.986383019998,2950.797738,2150.131171,1334.26456,1248.149494,2327.34375,486.200945,3093.135459,126.33142,3334.212795,3507.398105,3413.792366,1056.5,2483.13578,1983.071747,3703.413258,1122.582259,5649.362292,5.556934,1661.571926,1131.457609,3312.053806,318.77876,2693.438428,3840.669145,1535.631514,649.048994,5007.582032,1504.462495,0.0,1956.141491,1449.5,4988.242904,3392.731059,3574.752751,4123.037759,705.758855,8099.035993,4284.725763,1731.387504,2732.382676,1723.243018,7843.850296,2870.64524,2889.392054,1.841921,1778.606155,10110.778656,1690.937402,554.72105,2468.863122,1896.967166,1.620367,7351.518117,5193.193636,1185.012453,3708.110318,10037.926953,8855.008569,2299.228742,4736.775493,4689.007395,7728.006911,1344.572352,8539.560168,3578.537575,2316.074575
1005,Maïs autre que de semence,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4065.553151,92.339768,1043.520311,692.246166,2452.069266,958.269294,1255.293518,2164.82722,784.148204,2099.20773,1393.857529,1992.614765,81.338927,968.648229,2007.505265,11.456681,303.981123,140.960294,1649.301111,157.572623,2275.625224,501.558549,101.22927,1849.55901,76.856601
1006,Riz ,24.5,6.600000000000001,79.80000000000001,196.9,516.8,868.4,596.5999999999999,291.2000000000003,117.0999999999999,174.5,330.0999999999999,178.0,88.7,75.10000000000001,159.0,163.9,512.9000000000001,171.1999999999999,219.2,70.90000000000009,81.09999999999991,62.0,87.40000000000009,48.0,24.8,104.2,34.90000000000001,0.2999999999999829,0.1000000000000227,103.3,3.299999999999955,19.60000000000002,0.1999999999999886,31.5,17.30000000000001,7.399999999999977,10,480.6,1.299999999999955,0.5,295.7,8159.91473,226.954639,12.537414,7.010536,74.3282,151.572377,111.971849,16.327191,0.25,7.551783,6.79693,5.268168,62.55612,131.750099,156.90071,92.195641,3008.96,1986.100285,3112.68593,1092.896655,2004.253977,337.980659,531.039134,75.867136,309.106636,785.566475,266.053024,84.898661,210.96978,199.186956,325.116484,95.62303,84.14987,337.980659,99.244558,421.791075,696.963463,714.145397,566.024578,1712.30502,1958.37336,2515.844491,3994.533265,5472.096046,2364.480036,1561.839817,121.764934,14832.73218285,17015.88365574,250.1797912921699,470.33669011042,730.3366666973697,16.1690698,1185.387258435686,1427.297819853245,731.3074724597678,898.2286651713689,997.3938322156949,1108.604939549999,704.8821774099997,751.9107259200006,779.5449408700001,1145.65748235,1173.43111132,0.0,752.003383,924.35256,873.396608,805.946957,662.340304,260.327945,1525.308894,1130.928711,341.419015,454.206389,1267.96935269241,992.034487,524.632164,537.225056,405.776086,370.653706,496.059566,1077.419977,1377.430109,1189.235292,444.047355,427.91674,724.417015,1324.661512,1230.884109,660.851547,1601.95783,1621.00705,5772.323115,5024.3,4158.070969,571.516733,4087.936511,990.796452,8076.360306,2159.831662,3379.866385,6753.907681,528.506517,113.40006,1745.542151,3230.436347,406.057888,451.37073,449.852164,586.814267,2732.057388,345.200876,320.31001,6016.717669,4509.596785,1904.274601,413.787466,4296.817177,513.497073,189.766166,4944.705458,3990.338427,2515.97104,97.845601,2586.746909,1155.510482,1232.691706,259.412611,304.178684
1101,Farine de froment,94.3,40.7,137.4,29.10000000000002,42.19999999999999,29.90000000000003,14.89999999999998,26.10000000000002,45.5,24.5,45.60000000000002,83.0,83.9,15.89999999999999,100.6,72.70000000000002,36.5,193.9,57.79999999999995,105.2,36.29999999999995,38.30000000000007,129.4,168.0999999999999,37.2,97.99999999999999,38.80000000000001,4.199999999999989,0.0,173.9,87.09999999999997,98.59999999999997,350.1,293.5000000000001,164.3999999999999,164.5,100.7,96.49999999999999,83.69999999999999,77.80000000000001,218.5000000000001,125.604514,251.80098,139.481582,137.863693,104.173143,186.391261,274.692173,325.246635,277.060388,506.264226,221.639151,300.091794,312.85788,470.25721,84.452211,216.751041,159.800191,425.289527,224.714902,110.652105,532.935268,245.45668,235.382825,220.858028,41.328744,198.912844,306.778407,285.92993,266.454746,182.009245,343.577384,398.884112,354.639528,245.45668,664.00993,663.354479,391.201648,860.067698,341.515907,170.056153,377.301154,517.530324,95.913424,352.236796,56.450338,180.680772,144.424886,57.9107384,0.50125544,119.152881495,29.351001625,0.0,0.143714277135,14.2997511115,0.980544,1.095708981361,0.0,0.0980812917,0.0,0.0,0.0,0.06503239,0.0,0.18781256,0.047397,0.105102,9.208732,1.667639,230.874599,0.0,0.0,0.204767,0.094232,0.0,0.847569,0.085025,1.637436,0.796331,0.737247,0.298121,0.084266,8.415815,1.890525,1.240665,2.537267,1.495463,1.317837,28.733422,1.429813,29.288653,0.613273,1.427898,0.951785,8.861195,1413.8,375.170542,404.390966,597.325798,326.713114,668.553217,313.836365,263.031651,279.021225,297.970195,165.179164,339.089115,512.968218,557.434135,747.751709,796.42413,333.108527,107.969547,45.18141,29.159215,33.557003,5.858943,5.18271,137.512527,21.738228,6.026223,14.165212,4.04045,2.116952,0.213226,8.392072,0.0,1.966238,2.585028,226.12152,0.078683
